,Degree Centrality,Betweenness,Closeness
PELLEGRINO,0.007142857142857143,0.004147465437788019,0.09159197462768892
GUN,0.0035714285714285713,0.0,0.0035714285714285713
CONTROL,0.0035714285714285713,0.0,0.0035714285714285713
MARJORIE,0.007142857142857143,0.0,0.08859877284247032
SUPREME,0.0035714285714285713,0.0,0.0035714285714285713
COURT,0.0035714285714285713,0.0,0.0035714285714285713
REP,0.02857142857142857,0.044034818228366614,0.10415947937901836
PRESS,0.007142857142857143,0.005887523468168637,0.10721953188054884
DEBUT,0.0035714285714285713,0.0,0.13497764681975208
URGES,0.0035714285714285713,0.0,0.12651904761904761
NUCLEAR,0.007142857142857143,0.0009058713090971153,0.11072262043673947
PROTEST,0.0035714285714285713,0.0,0.13497764681975208
SAYS,0.0035714285714285713,0.0,0.12651904761904761
POLICIES,0.0035714285714285713,0.0,0.13497764681975208
PROTESTS,0.007142857142857143,0.008243727598566309,0.13575005109339874
SCHOOLS,0.010714285714285714,0.008269329237071172,0.13575005109339874
MATT,0.007142857142857143,0.004147465437788019,0.08859877284247032
GAETZ,0.0035714285714285713,0.0,0.07695805816243773
DEMOCRATS,0.007142857142857143,0.004147465437788019,0.13536274709598534
PUSH,0.0035714285714285713,0.0,0.1099528223804006
POLICY,0.0035714285714285713,0.0,0.13497764681975208
NORTH,0.0035714285714285713,0.0,0.0035714285714285713
KOREA,0.0035714285714285713,0.0,0.0035714285714285713
LIFE,0.0035714285714285713,0.0,0.13497764681975208
CAMPAIGN,0.007142857142857143,0.0,0.14780262572318648
STREET,0.0035714285714285713,0.0,0.09106457362215521
SHORT,0.0035714285714285713,0.0,0.0035714285714285713
SQUEEZE,0.0035714285714285713,0.0,0.0035714285714285713
ENGLAND,0.0035714285714285713,0.0,0.13497764681975208
GEORGIA,0.0035714285714285713,0.0,0.12788313438582982
AHEAD,0.0035714285714285713,0.0,0.08309044283212409
CHINA,0.014285714285714285,0.03223246287762417,0.13812123102516116
IRAN,0.0035714285714285713,0.0,0.11176594312636716
BILLION,0.0035714285714285713,0.0,0.0064285714285714285
TOKYO,0.0035714285714285713,0.0,0.1099528223804006
NEXT,0.0035714285714285713,0.0,0.0035714285714285713
WEEK,0.0035714285714285713,0.0,0.0035714285714285713
PROJECT,0.0035714285714285713,0.0,0.0035714285714285713
VERITAS,0.0035714285714285713,0.0,0.0035714285714285713
FINAL,0.0035714285714285713,0.0,0.1314256034823902
GREG,0.0035714285714285713,0.0,0.08843363067500999
GORDON,0.0035714285714285713,0.0,0.0035714285714285713
CHANG,0.0035714285714285713,0.0,0.0035714285714285713
BROOKS,0.0035714285714285713,0.0,0.08843363067500999
CONGRESS,0.0035714285714285713,0.0,0.0064285714285714285
WEEKLY,0.010714285714285714,7.680491551459293e-05,0.010714285714285714
WRAP,0.0035714285714285713,0.0,0.0064285714285714285
HOUSING,0.0035714285714285713,0.0,0.0035714285714285713
MARKET,0.0035714285714285713,0.0,0.0035714285714285713
MICHAEL,0.0035714285714285713,0.0,0.0035714285714285713
JOHNS,0.0035714285714285713,0.0,0.0035714285714285713
FORMER,0.007142857142857143,0.008243727598566309,0.08487413749041657
DEPUTY,0.007142857142857143,0.004147465437788019,0.07424826738207022
ASSISTANT,0.0035714285714285713,0.0,0.06589533730158731
CORONAVIRUS,0.0035714285714285713,0.0,0.09385686025151901
BRIEFING,0.0035714285714285713,0.0,0.0064285714285714285
PRESENTS,0.0035714285714285713,0.0,0.09441719971570718
NOV,0.0035714285714285713,0.0,0.09555819306574595
REFUSES,0.0035714285714285713,0.0,0.09662860052371254
SILENT,0.0035714285714285713,0.0,0.12651904761904761
SEEKS,0.007142857142857143,0.01228878648233487,0.1125614302660566
AMID,0.0035714285714285713,0.0,0.005714285714285714
SURGE,0.007142857142857143,7.680491551459293e-05,0.008163265306122448
CRIME,0.007142857142857143,0.00010240655401945725,0.009523809523809523
TAXES,0.007142857142857143,7.680491551459293e-05,0.008163265306122448
HOMELESSNESS,0.0035714285714285713,0.0,0.005714285714285714
MARKS,0.007142857142857143,1.2800819252432156e-05,0.013775510204081631
SEPT,0.007142857142857143,2.560163850486431e-05,0.014464285714285713
VIRUS,0.007142857142857143,0.008243727598566309,0.11229501267962806
BREAKTHROUGH,0.007142857142857143,0.004147465437788019,0.09441719971570718
CASES,0.0035714285714285713,0.0,0.08131044191455503
FULLY,0.0035714285714285713,0.0,0.0035714285714285713
VACCINATED,0.0035714285714285713,0.0,0.0035714285714285713
NUNES,0.0035714285714285713,0.0,0.08843363067500999
DIEGO,0.0035714285714285713,0.0,0.0047619047619047615
SETH,0.0035714285714285713,0.0,0.0035714285714285713
KESHEL,0.0035714285714285713,0.0,0.0035714285714285713
KELLY,0.0035714285714285713,0.0,0.0035714285714285713
TOWNSEND,0.0035714285714285713,0.0,0.0035714285714285713
GUBERNATORIAL,0.0035714285714285713,0.0,0.0035714285714285713
CANDIDATE,0.0035714285714285713,0.0,0.0035714285714285713
ARIZONA,0.0035714285714285713,0.0,0.09141549683457198
DOUG,0.0035714285714285713,0.0,0.08745556287030942
NURSING,0.0035714285714285713,0.0,0.0035714285714285713
HOME,0.0035714285714285713,0.0,0.0035714285714285713
LAW,0.0035714285714285713,0.0,0.0035714285714285713
ENFORCEMENT,0.0035714285714285713,0.0,0.0035714285714285713
CUBA,0.0035714285714285713,0.0,0.09293759619420736
FREEDOM,0.007142857142857143,0.004147465437788019,0.1104648262098786
HEART,0.0035714285714285713,0.0,0.0035714285714285713
INFLAMMATION,0.0035714285714285713,0.0,0.0035714285714285713
TALKS,0.0035714285714285713,0.0,0.13497764681975208
LIZ,0.0035714285714285713,0.0,0.0035714285714285713
HARRINGTON,0.0035714285714285713,0.0,0.0035714285714285713
FAUCI,0.0035714285714285713,0.0,0.07640039107430412
VISITS,0.0035714285714285713,0.0,0.11487806987201661
TAKE,0.0035714285714285713,0.0,0.0035714285714285713
ACTION,0.0035714285714285713,0.0,0.0035714285714285713
HAND,0.0035714285714285713,0.0,0.0035714285714285713
COUNT,0.0035714285714285713,0.0,0.0035714285714285713
GIVES,0.0035714285714285713,0.0,0.0035714285714285713
UPDATE,0.0035714285714285713,0.0,0.0035714285714285713
AUDITORS,0.0035714285714285713,0.0,0.11487806987201661
FULTON,0.0035714285714285713,0.0,0.0842711240801827
DUPLICATE,0.0035714285714285713,0.0,0.0047619047619047615
OFFICIALS,0.0035714285714285713,0.0,0.0842711240801827
ANTRIM,0.0035714285714285713,0.0,0.0842711240801827
SYSTEMS,0.0035714285714285713,0.0,0.0908901204159825
EFFORT,0.0035714285714285713,0.0,0.013149350649350649
HUMAN,0.0035714285714285713,0.0,0.0035714285714285713
TRAFFICKING,0.0035714285714285713,0.0,0.0035714285714285713
RIGHTS,0.0035714285714285713,0.0,0.13497764681975208
SINCE,0.0035714285714285713,0.0,0.0035714285714285713
MARCH,0.0035714285714285713,0.0,0.0035714285714285713
STIMULUS,0.0035714285714285713,0.0,0.08159009949637638
BILL,0.010714285714285714,0.008269329237071172,0.09479449122306266
YORKS,0.0035714285714285713,0.0,0.0064285714285714285
DOMINION,0.0035714285714285713,0.0,0.0908901204159825
INTRODUCES,0.0035714285714285713,0.0,0.08159009949637638
IMMIGRATION,0.0035714285714285713,0.0,0.12651904761904761
CUOMO,0.0035714285714285713,0.0,0.014464285714285713
HOLDS,0.0035714285714285713,0.0,0.13613957778233246
RIGHT,0.0035714285714285713,0.0,0.13613957778233246
IRREGULARITIES,0.0035714285714285713,0.0,0.0908901204159825
ANNA,0.0035714285714285713,0.0,0.0047619047619047615
PAULINA,0.007142857142857143,2.560163850486431e-05,0.007142857142857143
LUNA,0.0035714285714285713,0.0,0.0047619047619047615
INDOOR,0.0035714285714285713,0.0,0.0035714285714285713
DINING,0.0035714285714285713,0.0,0.0035714285714285713
SIGNATURES,0.0035714285714285713,0.0,0.13497764681975208
REOPENING,0.0035714285714285713,0.0,0.11020822963331675
VOTES,0.0035714285714285713,0.0,0.10673710429053512
RASKIN,0.007142857142857143,0.008243727598566309,0.0887645329413337
FALSELY,0.007142857142857143,0.004147465437788019,0.07720853190747413
CLAIMS,0.0035714285714285713,0.0,0.06821659648762453
DEFENSE,0.0035714285714285713,0.0,0.09441719971570718
TRADERS,0.0035714285714285713,0.0,0.1099528223804006
DEATH,0.0035714285714285713,0.0,0.1115032734597952
REOPEN,0.0035714285714285713,0.0,0.11020822963331675
FLA,0.0035714285714285713,0.0,0.13497764681975208
GOP,0.0035714285714285713,0.0,0.10673710429053512
UNCONSTITUTIONAL,0.0035714285714285713,0.0,0.13497764681975208
RESTORE,0.007142857142857143,0.003561614610001707,0.1271974339333589
FAILED,0.007142857142857143,0.0003712237583205325,0.10496602402022757
JUDGE,0.0035714285714285713,0.0,0.0035714285714285713
BLOCKS,0.0035714285714285713,0.0,0.0035714285714285713
DEPORTATION,0.0035714285714285713,0.0,0.0035714285714285713
FREEZE,0.0035714285714285713,0.0,0.0035714285714285713
BAY,0.0035714285714285713,0.0,0.13497764681975208
